Date,AZO,BKNG,CMG,NVR,ORLY
2000-01-03,30.5625,307.5,,46.5625,10.75
2000-01-04,30.4375,324.0,,46.0,9.96875
2000-01-05,30.3125,359.625,,45.875,10.03125
2000-01-06,29.0625,345.0,,45.875,9.46875
2000-01-07,30.4375,343.5,,46.75,8.3125
2000-01-10,30.6875,325.5,,47.375,8.40625
2000-01-11,30.0625,316.875,,47.5,8.28125
2000-01-12,29.8125,306.75,,47.8125,8.125
2000-01-13,30.0,309.75,,48.875,8.1875
2000-01-14,29.75,341.25,,48.8125,7.140625
2000-01-18,29.625,355.125,,47.75,7.0625
2000-01-19,30.125,374.625,,47.75,6.65625
2000-01-20,29.0625,371.625,,48.25,6.65625
2000-01-21,28.25,381.0,,48.5625,6.78125
2000-01-24,27.75,359.625,,48.75,6.75
2000-01-25,27.875,377.625,,49.25,6.875
2000-01-26,27.625,397.5,,48.625,6.3125
2000-01-27,27.0,384.75,,47.125,6.65625
2000-01-28,26.1875,357.75,,46.375,6.5
2000-01-31,26.25,348.0,,45.25,6.5625
2000-02-01,26.3125,343.5,,44.875,6.6875
2000-02-02,25.8125,357.375,,44.625,6.375
2000-02-03,26.5625,357.375,,44.375,6.78125
2000-02-04,26.625,362.25,,45.3125,6.625
2000-02-07,25.375,361.5,,45.875,6.5
2000-02-08,25.1875,348.375,,45.875,6.625
2000-02-09,24.0,350.625,,44.1875,6.03125
2000-02-10,24.0625,337.5,,42.25,6.53125
2000-02-11,23.25,323.25,,42.5,6.09375
2000-02-14,23.375,326.25,,42.75,6.34375
2000-02-15,23.375,318.0,,43.375,6.09375
2000-02-16,22.3125,317.625,,43.875,5.75
2000-02-17,22.625,330.0,,44.125,5.375
2000-02-18,22.125,306.0,,43.1875,5.375
2000-02-22,22.375,300.75,,42.875,5.625
2000-02-23,23.25,311.25,,43.5,5.765625
2000-02-24,22.0625,340.5,,44.625,6.53125
2000-02-25,23.3125,341.25,,44.125,6.4375
2000-02-28,23.0625,323.25,,44.125,6.546875
2000-02-29,24.0,335.625,,44.125,7.0
2000-03-01,22.625,386.25,,44.375,6.03125
2000-03-02,22.8125,429.0,,44.5,5.53125
2000-03-03,22.4375,450.0,,44.1875,6.0625
2000-03-06,22.375,541.125,,44.625,5.46875
2000-03-07,21.125,471.75,,44.375,4.8125
2000-03-08,22.0,525.375,,44.125,4.625
2000-03-09,22.75,562.125,,44.75,5.46875
2000-03-10,21.8125,567.0,,44.625,5.0
2000-03-13,21.3125,575.625,,44.375,5.28125
2000-03-14,22.5625,569.625,,44.5625,5.65625
2000-03-15,24.125,534.0,,44.5625,6.1875
2000-03-16,26.4375,527.625,,46.75,7.4375
2000-03-17,24.3125,540.0,,49.5,7.1875
2000-03-20,25.0,466.125,,50.5,7.28125
2000-03-21,25.6875,487.5,,51.75,7.53125
2000-03-22,24.75,522.0,,54.5625,7.4375
2000-03-23,24.125,528.0,,54.125,7.375
2000-03-24,25.5625,543.0,,53.8125,8.125
2000-03-27,25.625,552.0,,53.125,8.1875
2000-03-28,26.25,521.625,,52.0625,7.6875
2000-03-29,26.8125,490.875,,51.8125,7.21875
2000-03-30,27.1875,486.75,,54.0,7.5
2000-03-31,27.75,480.0,,54.0,7.09375
2000-04-03,27.875,392.25,,54.25,7.375
2000-04-04,27.0625,451.5,,54.4375,7.375
2000-04-05,27.6875,431.625,,54.875,7.40625
2000-04-06,28.625,462.75,,55.8125,7.21875
2000-04-07,28.9375,468.375,,55.875,6.96875
2000-04-10,29.1875,437.25,,55.375,6.84375
2000-04-11,29.75,390.375,,55.0,6.53125
2000-04-12,29.1875,360.75,,54.8125,6.4375
2000-04-13,27.8125,372.75,,54.75,6.71875
2000-04-14,26.0,351.28125,,53.8125,6.46875
2000-04-17,25.9375,312.375,,52.75,6.5
2000-04-18,26.3125,384.0,,52.75,6.53125
2000-04-19,25.4375,390.375,,52.8125,6.09375
2000-04-20,24.9375,407.25,,53.1875,6.375
2000-04-24,24.9375,370.5,,53.625,6.21875
2000-04-25,25.0625,387.375,,53.5,6.65625
2000-04-26,23.9375,383.25,,59.0,7.15625
2000-04-27,23.0625,389.625,,59.0,6.8125
2000-04-28,22.9375,379.5,,62.0,6.75
2000-05-01,23.0625,381.375,,63.25,6.96875
2000-05-02,22.5,357.0,,62.0,6.71875
2000-05-03,21.875,348.09375,,61.0,6.5
2000-05-04,22.125,347.625,,61.625,6.5
2000-05-05,21.9375,344.625,,62.5,6.9375
2000-05-08,22.4375,329.25,,62.3125,6.875
2000-05-09,23.125,317.625,,62.625,6.875
2000-05-10,22.625,309.375,,62.375,6.9375
2000-05-11,23.9375,297.0,,62.375,7.09375
2000-05-12,23.6875,298.125,,62.375,6.875
2000-05-15,26.875,302.625,,61.9375,7.59375
2000-05-16,26.5,324.375,,61.75,7.625
2000-05-17,26.0,304.125,,61.25,7.375
2000-05-18,26.75,282.375,,60.25,7.5
2000-05-19,26.8125,268.5,,59.1875,7.375
2000-05-22,27.75,266.625,,57.3125,7.3125
2000-05-23,27.5,243.0,,56.875,7.3125
2000-05-24,26.8125,219.0,,56.25,7.40625
2000-05-25,27.0625,217.5,,55.5,7.28125
2000-05-26,27.1875,216.75,,55.125,6.9375
2000-05-30,27.8125,235.5,,55.75,6.90625
2000-05-31,28.0,228.75,,55.0,6.8125
2000-06-01,28.1875,251.625,,55.125,6.8125
2000-06-02,28.9375,279.0,,55.6875,6.96875
2000-06-05,28.9375,294.0,,56.3125,7.0
2000-06-06,28.0625,264.375,,56.75,6.71875
2000-06-07,28.375,270.0,,56.5625,6.8125
2000-06-08,27.75,273.375,,56.6875,7.03125
2000-06-09,27.9375,270.75,,55.5,6.8125
2000-06-12,28.0625,252.0,,54.8125,6.96875
2000-06-13,28.75,261.0,,55.375,7.03125
2000-06-14,28.9375,259.125,,55.625,6.75
2000-06-15,29.0,256.5,,56.25,7.03125
2000-06-16,27.375,259.125,,55.375,6.96875
2000-06-19,27.125,267.375,,55.875,6.953125
2000-06-20,26.375,279.0,,55.125,6.78125
2000-06-21,26.3125,270.0,,55.0625,6.96875
2000-06-22,25.9375,271.875,,54.25,6.84375
2000-06-23,24.9375,250.875,,54.5,6.1875
2000-06-26,24.4375,228.0,,55.25,6.21875
2000-06-27,24.8125,240.0,,56.4375,6.34375
2000-06-28,24.640625,241.125,,57.75,7.0
2000-06-29,24.0,220.875,,58.625,6.875
2000-06-30,22.015625,227.90625,,57.0,6.9375
2000-07-03,23.75,240.0,,57.375,6.71875
2000-07-05,24.0625,222.75,,57.875,6.6875
2000-07-06,24.5,228.375,,59.0,7.21875
2000-07-07,24.625,225.375,,60.9375,7.21875
2000-07-10,24.4375,223.5,,60.125,7.1875
2000-07-11,24.4375,195.0,,59.875,7.40625
2000-07-12,24.0625,213.75,,59.375,7.25
2000-07-13,23.625,230.625,,59.6875,7.25
2000-07-14,24.1875,236.625,,59.75,7.1875
2000-07-17,23.9375,237.375,,59.8125,7.28125
2000-07-18,24.0,232.5,,59.75,7.1875
2000-07-19,23.625,238.5,,60.0,7.125
2000-07-20,23.625,243.375,,61.8125,7.15625
2000-07-21,23.375,240.375,,61.375,6.75
2000-07-24,23.0625,186.75,,61.125,6.8125
2000-07-25,23.1875,187.5,,59.875,6.96875
2000-07-26,23.0,171.75,,59.0,7.25
2000-07-27,22.875,154.875,,59.25,7.15625
