Date,AZO,BKNG,CMG,NVR,ORLY
2000-01-03,32.5,318.0,,47.75,11.0625
2000-01-04,30.9375,343.5,,46.375,10.5
2000-01-05,30.4375,385.3125,,46.125,10.3125
2000-01-06,29.9375,384.75,,45.875,10.125
2000-01-07,31.125,364.5,,46.75,9.75
2000-01-10,31.625,357.75,,47.5,8.5625
2000-01-11,30.9375,342.0,,47.5,8.53125
2000-01-12,30.0,325.125,,48.0,8.3125
2000-01-13,30.5,319.125,,49.0,8.3125
2000-01-14,30.3125,342.0,,49.125,8.3125
2000-01-18,30.4375,355.875,,48.625,7.5
2000-01-19,30.25,377.25,,47.75,7.40625
2000-01-20,30.0625,372.0,,48.5,6.9375
2000-01-21,29.3125,387.0,,49.0,7.03125
2000-01-24,28.4375,386.625,,49.0,7.1875
2000-01-25,28.3125,379.5,,49.25,7.03125
2000-01-26,28.0,408.375,,49.125,6.9375
2000-01-27,27.6875,415.5,,48.5,6.75
2000-01-28,27.125,385.125,,47.25,6.6875
2000-01-31,26.5,359.25,,46.375,6.71875
2000-02-01,27.0625,350.25,,45.0,6.875
2000-02-02,26.25,372.0,,45.125,6.78125
2000-02-03,26.9375,370.5,,44.8125,6.875
2000-02-04,27.125,372.0,,45.375,6.84375
2000-02-07,26.25,371.25,,46.125,6.75
2000-02-08,25.625,362.25,,46.75,6.625
2000-02-09,25.75,356.25,,45.5,6.5625
2000-02-10,24.25,351.0,,44.25,6.5625
2000-02-11,24.125,339.75,,42.5,6.59375
2000-02-14,23.5,334.125,,43.0,6.375
2000-02-15,23.625,331.5,,43.4375,6.375
2000-02-16,23.5625,321.75,,43.875,6.15625
2000-02-17,23.9375,334.5,,44.25,5.875
2000-02-18,23.125,330.0,,44.375,5.8125
2000-02-22,22.875,312.0,,43.25,5.9375
2000-02-23,23.5,318.75,,43.5,5.875
2000-02-24,23.0625,345.0,,44.625,6.8125
2000-02-25,24.375,345.75,,44.5,6.53125
2000-02-28,24.0625,345.0,,44.5,6.65625
2000-02-29,24.625,342.0,,44.75,7.25
2000-03-01,24.5625,388.5,,44.75,6.96875
2000-03-02,23.25,430.5,,44.5,6.03125
2000-03-03,22.75,450.375,,44.75,6.0625
2000-03-06,22.6875,558.0,,44.875,6.15625
2000-03-07,22.375,580.5,,44.875,5.6875
2000-03-08,22.0625,539.625,,44.5,5.0
2000-03-09,23.0,585.0,,44.875,5.5
2000-03-10,22.6875,587.25,,44.75,5.6875
2000-03-13,21.8125,598.5,,44.625,5.4375
2000-03-14,22.75,625.5,,44.5625,6.125
2000-03-15,24.25,569.25,,44.5625,6.25
2000-03-16,27.0,553.125,,47.125,7.5625
2000-03-17,26.125,552.0,,50.75,7.25
2000-03-20,25.0,516.375,,51.0,7.46875
2000-03-21,25.875,503.25,,52.625,7.625
2000-03-22,25.4375,528.0,,54.6875,7.5625
2000-03-23,24.6875,538.125,,54.4375,7.5
2000-03-24,25.9375,552.375,,54.25,8.4375
2000-03-27,26.03125,560.25,,53.5625,8.3125
2000-03-28,26.625,551.25,,53.0,8.21875
2000-03-29,27.5,526.875,,51.875,8.125
2000-03-30,27.75,496.5,,55.75,7.6875
2000-03-31,28.375,492.0,,57.0,7.75
2000-04-03,28.5,466.125,,54.5,7.5
2000-04-04,28.875,453.0,,55.25,7.5
2000-04-05,28.0625,453.0,,54.9375,7.625
2000-04-06,28.8125,476.25,,55.875,7.46875
2000-04-07,29.25,516.0,,56.75,7.21875
2000-04-10,30.0,473.625,,55.8125,7.34375
2000-04-11,30.0625,424.125,,55.5,6.96875
2000-04-12,29.75,399.0,,55.0,6.75
2000-04-13,29.1875,390.75,,54.8125,6.9375
2000-04-14,27.5625,372.0,,54.75,6.875
2000-04-17,26.3125,340.5,,53.75,6.65625
2000-04-18,26.875,389.625,,52.75,6.75
2000-04-19,26.125,390.75,,52.875,6.65625
2000-04-20,25.9375,415.125,,53.1875,6.5625
2000-04-24,25.5,396.0,,53.875,6.40625
2000-04-25,25.4375,415.5,,53.75,6.65625
2000-04-26,25.0625,396.375,,59.25,7.34375
2000-04-27,23.25,405.75,,59.5,7.03125
2000-04-28,23.3125,402.0,,63.3125,7.125
2000-05-01,23.125,395.25,,63.625,7.125
2000-05-02,23.5,387.0,,65.0,7.0
2000-05-03,22.25,354.0,,61.625,6.75
2000-05-04,22.375,370.875,,62.0,6.6875
2000-05-05,22.25,356.25,,63.25,6.9375
2000-05-08,22.75,357.75,,63.375,7.25
2000-05-09,23.125,332.25,,62.75,6.9375
2000-05-10,23.0,321.75,,62.5625,7.0625
2000-05-11,24.25,317.25,,62.375,7.25
2000-05-12,24.1875,310.5,,62.75,7.25
2000-05-15,27.125,310.5,,62.375,7.625
2000-05-16,27.3125,343.40625,,62.375,7.71875
2000-05-17,26.375,319.5,,62.0,7.53125
2000-05-18,27.125,309.0,,60.875,7.5625
2000-05-19,27.375,287.25,,60.5,7.5625
2000-05-22,27.9375,270.0,,59.1875,7.5
2000-05-23,27.75,269.25,,57.625,7.5625
2000-05-24,27.5,241.5,,56.625,7.5
2000-05-25,27.75,250.875,,56.25,7.5
2000-05-26,27.4375,222.75,,55.5,7.34375
2000-05-30,28.0625,237.75,,55.75,7.03125
2000-05-31,28.5,234.0,,55.75,6.9375
2000-06-01,28.25,254.25,,55.375,6.96875
2000-06-02,29.6875,286.5,,55.6875,7.1875
2000-06-05,29.0,309.0,,56.375,7.03125
2000-06-06,28.8125,295.5,,56.75,7.09375
2000-06-07,28.875,277.5,,57.0,7.03125
2000-06-08,28.3125,280.125,,56.8125,7.25
2000-06-09,28.4375,282.0,,56.5,7.03125
2000-06-12,28.3125,276.0,,55.125,7.0
2000-06-13,29.0,265.5,,55.375,7.0625
2000-06-14,29.0625,271.5,,55.875,7.0625
2000-06-15,29.1875,274.875,,56.375,7.09375
2000-06-16,28.5,264.0,,56.25,7.03125
2000-06-19,27.75,268.5,,55.875,7.0
2000-06-20,27.125,284.25,,55.9375,6.96875
2000-06-21,26.625,276.75,,55.3125,7.03125
2000-06-22,26.375,282.0,,55.3125,7.0
2000-06-23,25.9375,268.5,,54.625,6.84375
2000-06-26,24.9375,253.5,,55.375,6.375
2000-06-27,24.875,242.25,,56.625,6.4375
2000-06-28,24.9375,246.75,,57.75,7.0
2000-06-29,24.625,223.3125,,59.0,6.9375
2000-06-30,24.5,229.5,,60.25,6.96875
2000-07-03,23.9375,240.0,,57.375,6.90625
2000-07-05,24.5625,235.5,,58.375,6.875
2000-07-06,24.5625,230.25,,59.0,7.25
2000-07-07,24.6875,228.375,,61.375,7.21875
2000-07-10,24.75,228.75,,60.9375,7.25
2000-07-11,24.5625,223.5,,59.9375,7.4375
2000-07-12,24.75,217.5,,59.75,7.5
2000-07-13,24.3125,233.625,,59.75,7.40625
2000-07-14,24.25,244.125,,59.8125,7.4375
2000-07-17,24.0625,244.5,,60.375,7.375
2000-07-18,24.125,242.25,,60.25,7.40625
2000-07-19,24.25,241.5,,60.125,7.25
2000-07-20,23.9375,245.25,,61.8125,7.15625
2000-07-21,24.0,251.25,,61.875,7.15625
2000-07-24,23.4375,234.375,,61.5,7.0625
2000-07-25,23.25,199.125,,61.875,7.03125
