Date,AZO,BKNG,CMG,NVR,ORLY
2000-01-03,30.5,288.0,,46.5,10.03125
2000-01-04,30.3125,307.5,,46.0,9.78125
2000-01-05,29.875,327.75,,45.75,9.875
2000-01-06,28.9375,326.25,,45.5,9.40625
2000-01-07,29.0625,333.75,,45.5,8.09375
2000-01-10,30.5625,317.25,,47.0,8.21875
2000-01-11,29.5625,311.25,,47.0,8.21875
2000-01-12,29.5,306.0,,47.0,7.875
2000-01-13,29.5625,300.0,,47.75,8.09375
2000-01-14,29.625,313.5,,48.75,7.125
2000-01-18,29.25,333.0,,47.5,6.78125
2000-01-19,29.6875,349.875,,47.5,6.570312976837158
2000-01-20,29.0,354.0,,47.75,6.59375
2000-01-21,28.0,369.0,,47.875,6.65625
2000-01-24,27.75,357.0,,48.5,6.75
2000-01-25,27.375,336.0,,48.5625,6.625
2000-01-26,26.75,379.5,,48.625,6.1875
2000-01-27,26.6875,378.375,,47.125,6.375
2000-01-28,26.1875,348.0,,46.375,6.5
2000-01-31,26.125,339.0,,45.25,6.5
2000-02-01,26.125,338.25,,43.75,6.5
2000-02-02,25.625,343.5,,44.5,6.3125
2000-02-03,25.125,347.25,,44.375,6.3125
2000-02-04,26.5,355.5,,44.0,6.5625
2000-02-07,25.25,348.0,,45.3125,6.4375
2000-02-08,24.5,338.25,,45.625,6.25
2000-02-09,23.875,339.0,,43.8125,6.03125
2000-02-10,23.375,336.0,,42.25,6.0
2000-02-11,23.25,321.0,,42.0,5.9375
2000-02-14,23.0625,323.25,,42.25,6.0625
2000-02-15,23.0625,313.5,,42.75,6.0625
2000-02-16,22.0625,312.75,,43.25,5.625
2000-02-17,22.625,317.25,,43.6875,5.25
2000-02-18,22.0,306.0,,43.1875,5.375
2000-02-22,22.0,291.0,,42.5,5.375
2000-02-23,22.3125,300.375,,42.25,5.5
2000-02-24,22.0625,319.875,,43.375,5.78125
2000-02-25,22.0625,328.5,,44.125,6.3125
2000-02-28,22.5625,321.0,,43.1875,6.34375
2000-02-29,22.75,312.0,,44.125,6.59375
2000-03-01,22.125,354.0,,44.125,6.0
2000-03-02,22.5,393.0,,44.0,5.53125
2000-03-03,22.25,422.625,,44.125,5.5625
2000-03-06,22.25,452.25,,44.0,5.46875
2000-03-07,21.0,459.0,,44.0,4.75
2000-03-08,21.375,474.75,,44.125,4.125
2000-03-09,21.5,520.5,,44.5,4.78125
2000-03-10,21.5625,554.25,,44.5,5.0
2000-03-13,21.0625,494.25,,44.25,5.0
2000-03-14,21.1875,569.25,,44.25,5.375
2000-03-15,22.25,528.0,,44.46875,5.65625
2000-03-16,23.5,498.0,,44.5,6.3125
2000-03-17,24.3125,516.0,,46.75,6.9375
2000-03-20,24.4375,462.0,,49.125,7.125
2000-03-21,24.9375,453.0,,50.25,7.34375
2000-03-22,24.5,492.75,,51.625,7.3125
2000-03-23,23.5,510.0,,54.125,7.25
2000-03-24,24.25,525.375,,53.75,7.375
2000-03-27,25.5,543.0,,53.0,7.875
2000-03-28,25.25,513.0,,51.75,7.4375
2000-03-29,26.0625,490.5,,51.625,7.125
2000-03-30,26.875,471.0,,51.625,7.09375
2000-03-31,26.75,437.625,,53.5,7.0
2000-04-03,27.5625,390.0,,54.125,7.0625
2000-04-04,26.5,348.0,,54.0,6.75
2000-04-05,27.0,408.0,,54.125,7.25
2000-04-06,27.5625,435.75,,55.125,7.125
2000-04-07,28.375,445.875,,55.4375,6.8125
2000-04-10,28.3125,426.0,,55.375,6.78125
2000-04-11,28.875,372.0,,55.0,6.3125
2000-04-12,29.0,359.25,,54.5,6.28125
2000-04-13,27.75,363.0,,54.625,6.59375
2000-04-14,25.375,311.25,,53.75,6.28125
2000-04-17,25.5,297.75,,52.75,6.125
2000-04-18,25.5,292.5,,52.125,6.375
2000-04-19,25.25,342.0,,52.5,6.0
2000-04-20,24.3125,385.5,,52.625,6.34375
2000-04-24,24.1875,337.5,,53.125,6.1875
2000-04-25,25.0,373.5,,53.3125,6.0625
2000-04-26,23.75,366.0,,55.0,6.5625
2000-04-27,22.25,357.0,,58.375,6.5625
2000-04-28,22.8125,375.75,,58.8125,6.75
2000-05-01,22.5,378.375,,62.5,6.8125
2000-05-02,22.375,354.0,,62.0,6.6875
2000-05-03,21.75,330.75,,60.625,6.125
2000-05-04,21.875,339.0,,61.0,6.4375
2000-05-05,21.875,340.875,,61.625,6.46875
2000-05-08,21.9375,329.25,,61.75,6.78125
2000-05-09,22.8125,303.75,,62.1875,6.71875
2000-05-10,22.375,300.375,,62.3125,6.71875
2000-05-11,22.8125,294.75,,62.0,6.90625
2000-05-12,23.5625,295.875,,62.25,6.8125
2000-05-15,25.5,270.75,,61.75,6.90625
2000-05-16,25.9375,311.25,,61.5,7.5
2000-05-17,25.6875,299.25,,61.125,7.3125
2000-05-18,25.75,279.0,,60.25,7.3125
2000-05-19,26.5625,267.0,,58.75,7.34375
2000-05-22,26.5625,246.375,,57.125,7.0
2000-05-23,27.3125,240.0,,56.875,7.21875
2000-05-24,25.75,198.375,,55.5,7.1875
2000-05-25,26.75,210.75,,55.5,7.25
2000-05-26,26.8125,201.75,,55.125,6.75
2000-05-30,27.1875,214.5,,55.0,6.6875
