Date,AZO,BKNG,CMG,NVR,ORLY
2000-01-03,32.125,315.0,,47.75,11.0625
2000-01-04,30.5,308.25,,46.375,10.5
2000-01-05,30.3125,331.5,,46.0,10.0
2000-01-06,29.75,368.25,,45.625,10.125
2000-01-07,29.0625,358.125,,45.5,9.625
2000-01-10,31.5,352.125,,47.125,8.5
2000-01-11,30.9375,322.5,,47.25,8.5
2000-01-12,29.9375,321.75,,47.375,8.28125
2000-01-13,29.6875,318.65625,,47.75,8.265625
2000-01-14,30.0,315.0,,49.125,8.3125
2000-01-18,29.5,334.5,,48.625,7.5
2000-01-19,29.75,354.0,,47.625,7.25
2000-01-20,30.0,370.875,,47.75,6.875
2000-01-21,29.3125,374.25,,48.75,6.96875
2000-01-24,28.1875,383.625,,48.75,6.921875
2000-01-25,27.625,358.875,,48.75,7.0
2000-01-26,26.75,382.125,,49.0,6.90625
2000-01-27,27.5,406.5,,48.5,6.625
2000-01-28,26.75,384.375,,47.125,6.6875
2000-01-31,26.25,358.5,,46.375,6.59375
2000-02-01,26.125,350.25,,45.0,6.53125
2000-02-02,26.0625,343.5,,45.125,6.75
2000-02-03,25.8125,365.625,,44.5,6.5
2000-02-04,26.5,369.0,,44.125,6.78125
2000-02-07,26.25,351.75,,45.3125,6.65625
2000-02-08,25.375,361.5,,45.625,6.53125
2000-02-09,25.625,350.625,,45.5,6.5625
2000-02-10,24.0,350.625,,44.125,6.0625
2000-02-11,24.0,339.0,,42.25,6.53125
2000-02-14,23.25,329.625,,42.375,6.09375
2000-02-15,23.3125,331.5,,42.75,6.375
2000-02-16,23.375,317.25,,43.625,6.125
2000-02-17,23.375,324.75,,43.75,5.84375
2000-02-18,23.0,329.25,,44.0,5.46875
2000-02-22,22.0,306.375,,43.0,5.46875
2000-02-23,22.375,301.125,,42.75,5.625
2000-02-24,23.0,339.0,,43.5,5.8125
2000-02-25,22.0625,343.875,,44.375,6.515625
2000-02-28,23.1875,344.625,,44.0,6.5
2000-02-29,22.9375,324.75,,44.25,6.71875
2000-03-01,24.5625,354.75,,44.125,6.96875
2000-03-02,22.75,393.0,,44.3125,6.03125
2000-03-03,22.25,435.0,,44.75,5.84375
2000-03-06,22.5625,453.0,,44.0625,6.03125
2000-03-07,22.1875,579.75,,44.875,5.6875
2000-03-08,21.375,508.125,,44.25,5.0
2000-03-09,21.875,535.5,,44.53125,4.875
2000-03-10,22.5625,564.0,,44.625,5.46875
2000-03-13,21.8125,516.0,,44.5625,5.125
2000-03-14,21.5,584.25,,44.25,5.40625
2000-03-15,22.25,567.75,,44.53125,5.6875
2000-03-16,24.0,538.5,,44.53125,6.375
2000-03-17,25.75,521.625,,46.75,6.96875
2000-03-20,24.625,506.25,,49.5,7.3125
2000-03-21,25.0,456.0,,50.25,7.421875
2000-03-22,25.4375,492.75,,51.8125,7.5625
2000-03-23,24.25,517.5,,54.3125,7.28125
2000-03-24,24.625,536.25,,54.125,7.46875
2000-03-27,25.75,547.125,,53.5625,8.171875
2000-03-28,25.25,541.5,,53.0,8.1875
2000-03-29,26.0625,522.0,,51.75,7.625
2000-03-30,27.0625,479.25,,51.625,7.21875
2000-03-31,26.75,490.5,,54.75,7.625
2000-04-03,27.8125,465.375,,54.25,7.3125
2000-04-04,27.625,413.25,,54.0,7.46875
2000-04-05,27.0,440.625,,54.25,7.3125
2000-04-06,27.6875,435.75,,55.125,7.25
2000-04-07,28.375,481.5,,55.875,7.21875
2000-04-10,28.6875,473.625,,55.8125,6.96875
2000-04-11,29.0,421.5,,55.5,6.96875
2000-04-12,29.75,398.25,,54.75,6.6875
2000-04-13,29.1875,369.0,,54.75,6.625
2000-04-14,27.5625,357.0,,54.5,6.75
2000-04-17,25.75,333.75,,53.75,6.5
2000-04-18,25.625,316.5,,52.625,6.421875
2000-04-19,26.0625,381.0,,52.5,6.375
2000-04-20,25.125,395.25,,52.8125,6.375
2000-04-24,24.6875,378.0,,53.1875,6.34375
2000-04-25,25.0,390.75,,53.75,6.25
2000-04-26,25.0,396.0,,55.0,6.625
2000-04-27,23.125,360.0,,58.625,6.75
2000-04-28,22.9375,390.375,,58.875,6.84375
2000-05-01,22.875,387.375,,62.5,6.875
2000-05-02,23.0,381.75,,63.25,6.96875
2000-05-03,22.25,352.5,,61.625,6.6875
2000-05-04,21.9375,350.25,,61.25,6.53125
2000-05-05,21.9375,344.25,,61.75,6.5
2000-05-08,22.0,349.125,,62.125,6.8125
2000-05-09,23.125,331.125,,62.1875,6.9375
2000-05-10,22.9375,312.0,,62.5,6.84375
2000-05-11,22.875,314.25,,62.25,6.9375
2000-05-12,23.9375,301.5,,62.375,7.09375
2000-05-15,26.0,309.0,,62.125,6.90625
2000-05-16,27.0,311.25,,61.5,7.5
2000-05-17,26.25,317.625,,62.0,7.5
2000-05-18,25.75,304.5,,60.75,7.40625
2000-05-19,26.5625,279.0,,60.5,7.53125
2000-05-22,27.0,270.0,,59.0,7.5
2000-05-23,27.75,268.875,,57.5625,7.3125
2000-05-24,27.25,240.0,,56.625,7.5
2000-05-25,27.625,241.125,,56.25,7.5
2000-05-26,27.1875,217.875,,55.5,7.25
2000-05-30,27.1875,222.75,,55.1875,6.90625
2000-05-31,27.9375,232.125,,55.75,6.9375
2000-06-01,27.8125,232.125,,55.125,6.6875
2000-06-02,28.375,255.0,,55.375,6.953125
2000-06-05,29.0,278.625,,55.9375,6.96875
2000-06-06,28.8125,295.5,,56.25,7.0
2000-06-07,28.0625,263.25,,56.75,6.75
2000-06-08,28.125,277.125,,56.8125,6.78125
2000-06-09,27.75,279.75,,56.375,7.03125
2000-06-12,28.0625,270.0,,55.0,6.90625
2000-06-13,28.0625,252.75,,54.6875,6.609375
2000-06-14,28.875,262.5,,55.625,7.0625
2000-06-15,28.875,267.375,,55.625,6.78125
2000-06-16,28.25,259.875,,56.0,7.03125
2000-06-19,27.5625,259.125,,55.25,6.9375
2000-06-20,26.875,275.25,,55.9375,6.875
2000-06-21,26.4375,275.25,,55.25,6.78125
2000-06-22,26.3125,273.75,,55.0625,6.96875
2000-06-23,25.9375,267.75,,54.125,6.8125
2000-06-26,24.9375,252.75,,54.375,6.15625
2000-06-27,24.5,229.125,,55.375,6.25
2000-06-28,24.875,240.0,,56.375,6.375
2000-06-29,24.625,215.625,,57.75,6.75
2000-06-30,24.25,219.0,,58.375,6.96875
2000-07-03,22.625,230.625,,57.0,6.84375
2000-07-05,23.8125,234.75,,57.5,6.71875
2000-07-06,23.8125,222.375,,57.875,6.84375
2000-07-07,24.625,227.625,,59.0,7.03125
2000-07-10,24.625,227.625,,60.9375,7.21875
2000-07-11,24.5,223.5,,59.875,7.125
2000-07-12,24.5,205.5,,59.625,7.40625
2000-07-13,24.25,219.0,,59.25,7.21875
2000-07-14,23.9375,236.25,,59.8125,7.25
2000-07-17,23.9375,240.75,,60.0,7.25
2000-07-18,23.875,237.375,,59.9375,7.1875
2000-07-19,24.125,229.78125,,59.625,7.21875
2000-07-20,23.5625,240.75,,60.25,6.875
2000-07-21,23.875,243.0,,61.875,6.9375
2000-07-24,23.125,234.0,,61.5,7.0
2000-07-25,23.25,199.125,,61.375,6.84375
2000-07-26,23.1875,186.75,,60.0,6.875
2000-07-27,23.125,168.0,,59.0,7.125
2000-07-28,23.1875,157.875,,59.375,6.875
2000-07-31,23.0625,153.0,,60.0,6.90625
2000-08-01,22.6875,151.125,,61.375,7.25
2000-08-02,23.125,151.875,,62.1875,7.25
2000-08-03,23.75,144.375,,63.5,7.40625
2000-08-04,23.25,148.125,,64.25,7.71875
2000-08-07,22.875,147.0,,66.125,7.96875
2000-08-08,23.0,166.5,,72.5,8.03125
2000-08-09,23.0,173.25,,72.375,7.9375
2000-08-10,22.875,153.75,,70.5,7.71875
2000-08-11,22.375,138.0,,69.25,7.65625
2000-08-14,22.125,147.0,,72.0,7.75
2000-08-15,22.8125,144.75,,73.8125,8.0
2000-08-16,22.1875,152.625,,71.0,7.875
2000-08-17,22.1875,150.0,,70.75,7.875
2000-08-18,22.0,154.5,,70.75,7.875
2000-08-21,22.0,160.875,,71.25,7.78125
2000-08-22,21.9375,155.25,,71.8125,7.625
2000-08-23,21.875,149.625,,71.125,7.65625
2000-08-24,21.75,155.625,,70.0,7.875
2000-08-25,21.8125,162.1875,,70.1875,7.9375
2000-08-28,22.0,159.75,,69.875,7.75
2000-08-29,22.0,160.125,,70.25,7.78125
2000-08-30,22.0,163.125,,70.6875,7.71875
2000-08-31,22.1875,170.625,,71.25,7.703125
2000-09-01,22.5,162.375,,73.875,7.6875
2000-09-05,22.8125,157.125,,72.125,7.46875
2000-09-06,23.3125,175.5,,72.0,7.5
2000-09-07,23.25,165.375,,73.875,7.25
2000-09-08,23.0,156.75,,75.5,7.46875
2000-09-11,23.625,162.0,,77.375,7.25
2000-09-12,23.0,166.5,,78.5,7.3125
2000-09-13,23.3125,163.875,,78.5,7.34375
2000-09-14,22.5,171.0,,79.125,7.1875
2000-09-15,21.875,166.875,,78.0,7.09375
2000-09-18,22.1875,156.75,,78.3125,6.96875
2000-09-19,22.3125,154.125,,77.4375,6.921875
2000-09-20,21.3125,152.625,,77.5625,7.03125
2000-09-21,21.1875,136.875,,79.8125,6.96875
2000-09-22,22.25,119.25,,79.3125,6.90625
2000-09-25,21.8125,133.5,,78.30000305175781,7.0625
2000-09-26,22.5,120.75,,78.94999694824219,6.9375
2000-09-27,22.3125,67.875,,79.02999877929688,7.03125
2000-09-28,22.8125,63.375,,79.0999984741211,6.96875
2000-09-29,22.375,71.25,,81.25,7.328125
2000-10-02,22.6875,72.375,,81.25,7.328125
2000-10-03,22.1875,65.25,,81.75,7.125
2000-10-04,22.5625,59.90625,,81.19999694824219,7.1875
2000-10-05,23.1875,42.375,,79.5,7.21875
2000-10-06,23.625,33.84375,,79.5999984741211,7.15625
2000-10-09,24.6875,33.65625,,76.0,7.15625
2000-10-10,24.375,41.25,,76.25,7.0625
2000-10-11,24.1875,39.75,,78.25,7.03125
2000-10-12,24.1875,35.15625,,80.0999984741211,7.0625
2000-10-13,23.5,31.3125,,79.41000366210938,7.0625
2000-10-16,24.6875,39.65625,,79.5,7.5
2000-10-17,25.125,36.0,,80.5,7.195312976837158
2000-10-18,23.875,27.9375,,80.12999725341797,7.21875
2000-10-19,24.125,31.96875,,79.27999877929688,7.25
2000-10-20,24.6875,32.4375,,81.0,7.132812976837158
2000-10-23,24.0,31.96875,,82.6500015258789,7.1875
2000-10-24,24.1875,34.875,,83.5,7.1875
2000-10-25,24.625,32.625,,86.0,7.3125
2000-10-26,24.625,31.3125,,88.0,7.59375
2000-10-27,24.6875,33.0,,89.0,7.84375
2000-10-30,25.4375,32.53125,,96.5,7.914062976837158
2000-10-31,26.125,34.125,,99.91999816894531,8.6875
2000-11-01,26.4375,34.5,,103.4000015258789,8.65625
2000-11-02,26.9375,39.28125,,101.5,8.84375
2000-11-03,27.875,27.375,,100.83999633789062,8.84375
2000-11-06,26.125,28.78125,,104.94999694824219,9.0625
2000-11-07,26.0,27.28125,,103.5,8.9375
2000-11-08,26.5625,26.0625,,103.7300033569336,8.84375
2000-11-09,26.625,19.875,,102.26000213623047,9.25
2000-11-10,25.5625,19.5,,102.0,8.875
2000-11-13,26.0,20.25,,96.18000030517578,8.21875
2000-11-14,26.5625,19.5,,98.0,8.375
2000-11-15,26.5,19.03125,,99.75,9.0
2000-11-16,27.125,18.0,,100.97000122070312,8.875
2000-11-17,26.375,16.3125,,95.44000244140625,8.84375
2000-11-20,26.9375,15.0,,97.0,9.25
2000-11-21,27.1875,15.0,,91.18000030517578,9.28125
2000-11-22,26.75,13.96875,,87.69999694824219,9.40625
2000-11-24,26.375,14.625,,82.20999908447266,9.3125
2000-11-27,26.3125,16.875,,86.75,9.46875
2000-11-28,27.1875,14.8125,,90.33000183105469,9.5
2000-11-29,26.1875,13.5,,89.19999694824219,9.40625
2000-11-30,26.1875,14.8125,,93.30000305175781,8.359375
2000-12-01,25.5625,15.0,,90.5,8.53125
2000-12-04,25.875,13.78125,,92.0,9.0
2000-12-05,25.875,13.03125,,92.1500015258789,8.5625
2000-12-06,25.875,12.75,,103.0,8.71875
2000-12-07,25.6875,11.4375,,98.0,8.75
2000-12-08,25.1875,12.0,,101.0,8.78125
2000-12-11,25.25,15.9375,,109.0,9.25
2000-12-12,25.1875,13.78125,,109.6500015258789,10.125
2000-12-13,25.375,13.5,,100.5,11.03125
2000-12-14,25.25,13.40625,,106.5,10.921875
2000-12-15,25.875,13.3125,,102.27999877929688,10.84375
2000-12-18,25.75,11.625,,104.75,10.953125
2000-12-19,26.25,10.5,,108.98999786376953,11.0
2000-12-20,26.0625,7.96875,,106.5,11.125
2000-12-21,26.0,7.59375,,101.25,11.03125
2000-12-22,26.75,7.875,,105.6500015258789,11.3125
2000-12-26,27.25,7.6875,,107.25,11.6875
2000-12-27,27.125,6.75,,113.19999694824219,12.171875
2000-12-28,27.625,8.4375,,123.5,12.375
2000-12-29,27.6875,7.6875,,124.8499984741211,12.5
2001-01-02,28.25,8.25,,123.5999984741211,13.5625
2001-01-03,27.9375,8.625,,115.5999984741211,11.828125
2001-01-04,28.875,11.0625,,119.5999984741211,12.921875
2001-01-05,28.9375,12.0,,121.0,12.8125
2001-01-08,28.5625,10.125,,129.5,12.8125
2001-01-09,28.6875,9.5625,,135.0,12.71875
2001-01-10,28.25,12.375,,131.5,12.53125
2001-01-11,28.75,12.5625,,126.0999984741211,12.546875
2001-01-12,28.8125,16.5,,125.0999984741211,12.4375
2001-01-16,28.8125,19.125,,126.5,12.546875
2001-01-17,28.8125,24.84375,,125.25,12.875
2001-01-18,29.4375,19.6875,,127.98999786376953,12.65625
2001-01-19,28.375,18.0,,127.25,12.4375
2001-01-22,26.6875,17.0625,,118.25,11.65625
2001-01-23,25.75,16.3125,,108.0,12.125
2001-01-24,26.8125,15.9375,,114.25,11.25
2001-01-25,26.125,16.3125,,114.5,10.40625
2001-01-26,26.5,15.75,,115.5,10.4375
2001-01-29,26.5,15.75,,113.5,10.5
2001-01-30,26.899999618530273,16.5,,113.75,10.953125
2001-01-31,26.059999465942383,18.375,,114.5,10.96875
2001-02-01,26.149999618530273,16.875,,115.25,11.25
2001-02-02,25.549999237060547,17.0625,,118.5,11.25
2001-02-05,25.899999618530273,16.21875,,113.5,10.75
2001-02-06,25.270000457763672,16.5,,123.0,10.59375
2001-02-07,24.850000381469727,17.625,,132.75,10.78125
2001-02-08,25.239999771118164,17.0625,,133.10000610351562,10.6875
2001-02-09,24.75,18.5625,,131.0,10.546875
2001-02-12,24.75,16.3125,,128.5,7.9375
2001-02-13,25.600000381469727,17.0625,,139.5,10.0625
2001-02-14,25.81999969482422,16.3125,,138.25,9.4375
2001-02-15,26.0,15.375,,144.0,10.0625
2001-02-16,25.049999237060547,17.4375,,147.0,10.03125
2001-02-20,25.8799991607666,16.875,,143.5,9.96875
2001-02-21,25.68000030517578,15.9375,,137.5,9.875
2001-02-22,24.559999465942383,14.25,,137.25,9.40625
2001-02-23,24.5,13.3125,,134.0,9.4375
2001-02-26,24.420000076293945,16.6875,,136.0,9.625
2001-02-27,25.950000762939453,17.25,,144.75,9.570313453674316
2001-02-28,25.799999237060547,16.6875,,145.5,9.46875
2001-03-01,24.979999542236328,15.375,,145.5,9.34375
2001-03-02,26.0,15.375,,147.25,8.9375
2001-03-05,26.25,15.75,,157.0,9.15625
2001-03-06,26.25,15.75,,157.0,9.28125
2001-03-07,26.459999084472656,16.5,,163.4199981689453,9.070313453674316
2001-03-08,27.420000076293945,15.9375,,163.0,9.25
2001-03-09,27.649999618530273,15.0,,157.10000610351562,9.3125
2001-03-12,27.600000381469727,14.25,,158.02999877929688,9.265625
2001-03-13,27.280000686645508,13.3125,,151.5,9.25
2001-03-14,27.0,13.6875,,153.5,9.203125
2001-03-15,26.899999618530273,14.625,,150.0,9.375
2001-03-16,26.399999618530273,14.25,,154.5,9.65625
2001-03-19,26.65999984741211,12.375,,150.1999969482422,9.375
2001-03-20,27.049999237060547,12.84375,,154.0,9.5
2001-03-21,26.729999542236328,12.75,,156.0,9.359375
2001-03-22,26.600000381469727,13.21875,,155.5,9.3125
2001-03-23,26.670000076293945,13.125,,156.5,9.28125
2001-03-26,26.75,13.5,,162.5,9.367188453674316
2001-03-27,27.100000381469727,13.5,,166.0,9.0
2001-03-28,27.600000381469727,12.75,,166.0,9.1875
2001-03-29,27.049999237060547,12.5625,,165.25,9.0625
2001-03-30,27.84000015258789,13.125,,171.0,9.09375
2001-04-02,27.950000762939453,16.5,,163.5,9.75
2001-04-03,27.950000762939453,17.25,,162.0,9.84375
2001-04-04,27.450000762939453,15.1875,,164.75,9.65625
2001-04-05,27.950000762939453,15.9375,,166.5,9.96875
2001-04-06,28.299999237060547,16.3125,,166.5,10.25
2001-04-09,28.0,16.440000534057617,,164.75,10.125
2001-04-10,28.709999084472656,17.34000015258789,,165.80999755859375,10.175000190734863
2001-04-11,29.459999084472656,18.239999771118164,,169.0,10.3100004196167
2001-04-12,28.899999618530273,18.18000030517578,,166.75,10.414999961853027
2001-04-16,29.049999237060547,19.020000457763672,,167.0,10.460000038146973
2001-04-17,28.850000381469727,18.0,,165.0,10.460000038146973
2001-04-18,29.0,18.959999084472656,,163.5,10.600000381469727
2001-04-19,29.700000762939453,19.6200008392334,,170.0,10.550000190734863
2001-04-20,29.739999771118164,21.65999984741211,,177.5,10.949999809265137
2001-04-23,29.56999969482422,22.440000534057617,,169.5,10.595000267028809
2001-04-24,30.200000762939453,19.739999771118164,,177.0,10.28499984741211
2001-04-25,29.549999237060547,20.81999969482422,,185.0,10.914999961853027
2001-04-26,29.549999237060547,22.5,,192.75,11.25
2001-04-27,30.100000381469727,23.579999923706055,,190.25,11.630000114440918
2001-04-30,30.5,26.280000686645508,,199.89999389648438,12.005000114440918
2001-05-01,31.34000015258789,36.29999923706055,,190.6199951171875,11.875
2001-05-02,31.899999618530273,44.63999938964844,,190.5,11.869999885559082
2001-05-03,31.549999237060547,36.540000915527344,,187.5,11.720000267028809
2001-05-04,31.299999237060547,33.2400016784668,,183.0,11.550000190734863
2001-05-07,31.299999237060547,36.18000030517578,,186.0,11.699999809265137
2001-05-08,31.010000228881836,35.880001068115234,,193.5,11.449999809265137
2001-05-09,31.149999618530273,30.0,,196.5,11.354999542236328
2001-05-10,30.75,29.940000534057617,,196.5,11.074999809265137
2001-05-11,31.049999237060547,29.040000915527344,,203.0,11.074999809265137
2001-05-14,31.700000762939453,28.68000030517578,,192.60000610351562,11.225000381469727
2001-05-15,31.81999969482422,26.15999984741211,,197.5,11.164999961853027
2001-05-16,31.350000381469727,25.020000457763672,,196.5,11.175000190734863
2001-05-17,31.8799991607666,30.0,,195.5,11.345000267028809
2001-05-18,32.849998474121094,29.700000762939453,,194.5,11.614999771118164
2001-05-21,33.0,30.0,,194.9499969482422,11.9350004196167
2001-05-22,33.95000076293945,35.400001525878906,,185.0,13.09000015258789
2001-05-23,33.099998474121094,33.36000061035156,,182.5,12.53499984741211
2001-05-24,32.58000183105469,30.059999465942383,,180.5,12.0
2001-05-25,33.0,31.5,,182.0,12.270000457763672
2001-05-29,33.099998474121094,31.079999923706055,,175.0,12.130000114440918
2001-05-30,33.0,29.940000534057617,,163.0,12.149999618530273
2001-05-31,32.95000076293945,28.920000076293945,,170.5500030517578,12.369999885559082
2001-06-01,33.45000076293945,33.119998931884766,,171.5,12.604999542236328
2001-06-04,33.599998474121094,30.959999084472656,,168.0,12.454999923706055
2001-06-05,33.5,32.34000015258789,,164.5,13.055000305175781
2001-06-06,33.83000183105469,37.02000045776367,,162.5,13.199999809265137
2001-06-07,33.810001373291016,40.7400016784668,,151.14999389648438,13.010000228881836
2001-06-08,33.79999923706055,47.099998474121094,,153.0,13.005000114440918
2001-06-11,33.54999923706055,44.34000015258789,,156.0,12.904999732971191
2001-06-12,33.20000076293945,42.540000915527344,,151.64999389648438,12.789999961853027
2001-06-13,34.0,43.380001068115234,,150.0,13.0
2001-06-14,35.27000045776367,46.20000076293945,,149.5,13.234999656677246
2001-06-15,37.099998474121094,46.2599983215332,,144.5,13.324999809265137
2001-06-18,37.599998474121094,49.439998626708984,,141.0,13.475000381469727
2001-06-19,38.5,49.02000045776367,,140.25,14.020000457763672
2001-06-20,38.150001525878906,43.68000030517578,,145.0,14.154999732971191
2001-06-21,38.75,43.86000061035156,,150.5,14.444999694824219
2001-06-22,38.25,44.63999938964844,,157.0,14.100000381469727
2001-06-25,38.06999969482422,46.619998931884766,,154.0,12.975000381469727
2001-06-26,37.45000076293945,44.880001068115234,,152.75,13.050000190734863
2001-06-27,37.900001525878906,45.060001373291016,,153.0,13.279999732971191
2001-06-28,37.95000076293945,47.279998779296875,,153.75,13.854999542236328
2001-06-29,38.5099983215332,48.84000015258789,,157.5,13.930000305175781
2001-07-02,37.400001525878906,53.880001068115234,,150.0,14.300000190734863
2001-07-03,38.40999984741211,58.79999923706055,,150.0,14.109999656677246
2001-07-05,38.5,54.36000061035156,,153.0,14.375
2001-07-06,38.099998474121094,47.81999969482422,,158.0,14.350000381469727
2001-07-09,37.400001525878906,51.540000915527344,,156.0,13.9399995803833
2001-07-10,37.619998931884766,47.81999969482422,,152.5,14.0
2001-07-11,39.5,46.7400016784668,,152.25,14.0
2001-07-12,43.5,49.13999938964844,,155.5,14.795000076293945
2001-07-13,43.540000915527344,48.18000030517578,,159.47999572753906,16.174999237060547
2001-07-16,43.5,54.599998474121094,,164.5,16.0
2001-07-17,44.5,49.97999954223633,,162.75,15.90999984741211
2001-07-18,46.5,52.2599983215332,,169.0,16.024999618530273
2001-07-19,47.02000045776367,54.18000030517578,,170.3000030517578,16.280000686645508
2001-07-20,48.0099983215332,49.619998931884766,,176.5,16.489999771118164
2001-07-23,47.709999084472656,50.15999984741211,,174.5,16.684999465942383
2001-07-24,46.7599983215332,49.7400016784668,,175.25,16.924999237060547
2001-07-25,46.349998474121094,48.060001373291016,,167.10000610351562,16.834999084472656
2001-07-26,47.400001525878906,49.86000061035156,,167.5,17.045000076293945
2001-07-27,48.2599983215332,49.97999954223633,,163.5,17.56999969482422
2001-07-30,48.41999816894531,48.84000015258789,,165.5,17.325000762939453
2001-07-31,47.099998474121094,52.20000076293945,,170.0,17.350000381469727
2001-08-01,47.349998474121094,61.5,,175.0,17.424999237060547
2001-08-02,46.599998474121094,56.040000915527344,,174.4499969482422,17.225000381469727
2001-08-03,46.25,52.79999923706055,,177.0,17.0
2001-08-06,46.79999923706055,51.540000915527344,,174.5,16.760000228881836
2001-08-07,46.0,51.41999816894531,,166.5,16.3799991607666
2001-08-08,46.5,53.400001525878906,,157.5,16.354999542236328
2001-08-09,45.29999923706055,50.400001525878906,,156.5,16.075000762939453
2001-08-10,45.650001525878906,47.63999938964844,,157.5,16.450000762939453
2001-08-13,45.529998779296875,48.18000030517578,,155.0,16.399999618530273
2001-08-14,45.75,49.97999954223633,,153.0,16.329999923706055
2001-08-15,45.849998474121094,48.599998474121094,,150.25,16.415000915527344
2001-08-16,45.79999923706055,44.220001220703125,,155.3000030517578,16.405000686645508
2001-08-17,46.5,40.13999938964844,,159.25,15.979999542236328
2001-08-20,45.650001525878906,39.720001220703125,,154.25,15.755000114440918
2001-08-21,45.29999923706055,40.560001373291016,,153.14999389648438,15.53499984741211
2001-08-22,44.45000076293945,38.880001068115234,,155.5,15.095000267028809
2001-08-23,43.599998474121094,34.2599983215332,,157.0,14.989999771118164
2001-08-24,45.5,32.70000076293945,,159.0,15.25
