Date,AZO,BKNG,CMG,NVR,ORLY
2000-01-03,441000,847700,,36700,248000
2000-01-04,490600,972750,,34100,295000
2000-01-05,577400,1605417,,16500,778200
2000-01-06,489600,1175267,,12700,819200
2000-01-07,472100,339417,,73400,2182600
2000-01-10,355100,2018800,,20900,3289600
2000-01-11,648700,842983,,11900,1875000
2000-01-12,445500,283767,,21500,953600
2000-01-13,224300,299467,,17300,890600
2000-01-14,546400,789733,,7500,2553400
2000-01-18,341900,572700,,27400,4223400
2000-01-19,240500,710433,,9400,1381800
2000-01-20,375400,580500,,13100,1205000
2000-01-21,516500,825317,,32800,1189600
2000-01-24,384600,401500,,31900,930600
2000-01-25,361200,414783,,45000,956800
2000-01-26,600700,878317,,11300,1509800
2000-01-27,441300,1031917,,25700,1312800
2000-01-28,384800,568800,,11600,1743200
2000-01-31,329400,343917,,14400,1718000
2000-02-01,564300,205517,,27500,998800
2000-02-02,512200,390067,,7500,1186600
2000-02-03,428900,354067,,17100,2125600
2000-02-04,388000,246950,,13600,1116800
2000-02-07,163100,329717,,16600,1265200
2000-02-08,575300,1567083,,25600,1574400
2000-02-09,796600,529117,,29000,1259200
2000-02-10,1114300,307933,,104000,1007200
2000-02-11,1216000,235717,,17800,1045600
2000-02-14,237300,228417,,11500,795200
2000-02-15,382100,221433,,32800,496600
2000-02-16,922700,193033,,5200,671400
2000-02-17,758100,281433,,8200,1684200
2000-02-18,1077000,290850,,29200,1237000
2000-02-22,1041500,242783,,18900,1693800
2000-02-23,937900,313117,,48100,543000
2000-02-24,619500,894867,,65400,699400
2000-02-25,685000,401167,,19400,702000
2000-02-28,486000,229117,,27200,601200
2000-02-29,878600,465383,,37500,495200
2000-03-01,724400,2040883,,49000,1274600
2000-03-02,945000,1558650,,63500,975800
2000-03-03,668200,1235600,,6800,703800
2000-03-06,661200,2516400,,31400,662000
2000-03-07,1092800,2291917,,20100,2053200
2000-03-08,485300,1705367,,6300,4427400
2000-03-09,394600,1778400,,8000,1316800
2000-03-10,476600,684417,,6400,910600
2000-03-13,490100,749767,,12600,491800
2000-03-14,519800,833183,,20200,759800
2000-03-15,687700,423417,,12300,981200
2000-03-16,863600,490267,,30100,1981200
2000-03-17,901500,191567,,47900,635600
2000-03-20,519100,678683,,38500,1264400
2000-03-21,397500,442467,,20000,707200
2000-03-22,543500,367000,,23200,826600
2000-03-23,820500,340483,,25700,349800
2000-03-24,622700,344750,,10200,1148000
2000-03-27,560400,217650,,18500,563200
2000-03-28,518500,236783,,19900,534400
2000-03-29,767700,393783,,20100,758400
2000-03-30,468400,473467,,50400,233600
2000-03-31,831400,442117,,121500,378200
2000-04-03,381500,617133,,16000,567400
2000-04-04,655300,839733,,100000,396800
2000-04-05,516200,409817,,22200,205400
2000-04-06,286100,315733,,13300,195000
2000-04-07,906100,617167,,74000,472600
2000-04-10,409300,387383,,53300,515200
2000-04-11,921500,741083,,6800,457800
2000-04-12,484500,509250,,48000,470200
2000-04-13,362500,736000,,13500,313800
2000-04-14,516700,1033517,,42400,436400
2000-04-17,504300,730683,,35000,364200
2000-04-18,404800,1059817,,26100,205000
2000-04-19,435700,581250,,12100,1051400
2000-04-20,522000,406567,,14600,230000
2000-04-24,405200,538417,,12100,262400
2000-04-25,321700,501533,,8000,953000
2000-04-26,873300,529317,,177500,2802600
2000-04-27,539700,372867,,30300,390600
2000-04-28,265500,484467,,69900,379600
2000-05-01,491800,471267,,130900,270200
2000-05-02,500100,283417,,296200,277600
2000-05-03,566200,304650,,63800,380800
2000-05-04,337500,332667,,23300,330200
2000-05-05,346300,264800,,44700,279600
2000-05-08,519900,204667,,156700,291000
2000-05-09,691800,348650,,11800,136600
2000-05-10,264600,316133,,45900,362600
2000-05-11,454400,292850,,104600,350400
2000-05-12,262800,253617,,48900,173200
2000-05-15,917400,520033,,32200,429000
2000-05-16,794800,852017,,30500,615600
2000-05-17,376400,522450,,12900,910200
2000-05-18,330300,534167,,37100,1283400
2000-05-19,579800,389450,,31000,1742800
2000-05-22,678000,505200,,47300,356200
2000-05-23,645700,413433,,18300,314600
2000-05-24,541600,1009067,,23400,466200
2000-05-25,539200,831933,,21600,487400
2000-05-26,600900,259833,,46900,567400
2000-05-30,321000,393217,,12500,698000
2000-05-31,354800,287783,,21000,610400
2000-06-01,548700,638033,,7500,223000
2000-06-02,586800,601767,,18500,526400
2000-06-05,303600,514350,,9200,256000
2000-06-06,297300,309833,,5400,392000
2000-06-07,674600,342200,,14400,424800
2000-06-08,241500,379233,,4000,447800
2000-06-09,339900,254267,,32900,397200
2000-06-12,319600,310533,,109900,224600
2000-06-13,370400,246167,,10600,388200
2000-06-14,328700,184217,,7000,452400
2000-06-15,291000,279133,,13200,531800
2000-06-16,1490200,178700,,20200,1325600
2000-06-19,427300,151750,,19400,231400
2000-06-20,454300,625800,,11600,763600
2000-06-21,501800,181900,,3000,104000
2000-06-22,382000,307267,,14300,573000
2000-06-23,1416200,968700,,10000,1624000
2000-06-26,734000,629400,,16500,892800
2000-06-27,853600,257050,,15500,521800
2000-06-28,786300,269817,,23700,490600
2000-06-29,637700,1322883,,21800,275000
2000-06-30,988200,407750,,86900,498800
2000-07-03,603100,106400,,3100,135000
2000-07-05,529300,158133,,8100,494600
2000-07-06,729900,214517,,13700,332000
2000-07-07,556300,127150,,25500,174200
2000-07-10,385600,172133,,10700,203000
2000-07-11,434400,634233,,6000,404400
2000-07-12,403800,787533,,13800,425400
2000-07-13,349500,568333,,36000,193400
2000-07-14,366500,875950,,3700,92800
2000-07-17,648400,458517,,14200,165800
2000-07-18,722200,468683,,16700,214800
2000-07-19,503800,237933,,7600,134000
2000-07-20,373500,268400,,12700,112000
2000-07-21,440900,403917,,7400,212600
2000-07-24,317200,2586733,,8700,130800
2000-07-25,324700,1710217,,36700,156800
2000-07-26,535200,867600,,15200,203800
2000-07-27,269800,1140833,,15700,438400
2000-07-28,411100,948967,,3900,239000
2000-07-31,352500,974450,,16300,310400
2000-08-01,381300,1063017,,13300,467600
2000-08-02,562900,555367,,13300,467200
2000-08-03,504300,403267,,12100,788600
2000-08-04,442700,285817,,38100,474000
2000-08-07,442800,814500,,89200,331600
